2026-04-15 15:12:58,372 | INFO     | issue_detector | [MEDIUM] missing_values — 'Total expenditure' has 7.7% missing values (226 rows)
2026-04-15 15:12:58,372 | INFO     | issue_detector | [MEDIUM] missing_values — 'GDP' has 15.2% missing values (448 rows)
2026-04-15 15:12:58,372 | INFO     | issue_detector | [MEDIUM] missing_values — 'Income composition of resources' has 5.7% missing values (167 rows)
2026-04-15 15:12:58,372 | INFO     | issue_detector | [MEDIUM] missing_values — 'Schooling' has 5.5% missing values (163 rows)
2026-04-15 15:12:58,381 | INFO     | issue_detector | [MEDIUM] outliers — 'Polio' has 279 outliers (9.6%) by IQR method
2026-04-15 15:12:58,383 | INFO     | issue_detector | [MEDIUM] outliers — ' thinness  1-19 years' has 89 outliers (3.1%) by IQR method
2026-04-15 15:12:58,385 | INFO     | issue_detector | [MEDIUM] outliers — ' thinness 5-9 years' has 96 outliers (3.3%) by IQR method
2026-04-15 15:12:58,387 | INFO     | issue_detector | [MEDIUM] outliers — 'Income composition of resources' has 130 outliers (4.7%) by IQR method
2026-04-15 15:12:58,387 | INFO     | issue_detector | [LOW] missing_values — 'Life expectancy ' has 0.3% missing values (10 rows)
2026-04-15 15:12:58,387 | INFO     | issue_detector | [LOW] missing_values — 'Adult Mortality' has 0.3% missing values (10 rows)
2026-04-15 15:12:58,393 | INFO     | issue_detector | [LOW] missing_values — ' BMI ' has 1.2% missing values (34 rows)
2026-04-15 15:12:58,393 | INFO     | issue_detector | [LOW] missing_values — 'Polio' has 0.6% missing values (19 rows)
2026-04-15 15:12:58,393 | INFO     | issue_detector | [LOW] missing_values — 'Diphtheria ' has 0.6% missing values (19 rows)
2026-04-15 15:12:58,393 | INFO     | issue_detector | [LOW] missing_values — ' thinness  1-19 years' has 1.2% missing values (34 rows)
2026-04-15 15:12:58,399 | INFO     | issue_detector | [LOW] missing_values — ' thinness 5-9 years' has 1.2% missing values (34 rows)
2026-04-15 15:12:58,401 | INFO     | issue_detector | [LOW] outliers — 'Life expectancy ' has 10 outliers (0.3%) by IQR method
2026-04-15 15:12:58,401 | INFO     | issue_detector | [LOW] outliers — 'Adult Mortality' has 82 outliers (2.8%) by IQR method
2026-04-15 15:12:58,405 | INFO     | issue_detector | [LOW] outliers — 'Total expenditure' has 32 outliers (1.2%) by IQR method
2026-04-15 15:12:58,407 | INFO     | issue_detector | [LOW] outliers — 'Schooling' has 44 outliers (1.6%) by IQR method
2026-04-15 15:12:58,409 | INFO     | issue_detector | [LOW] high_skewness — 'Adult Mortality' is highly skewed (skew=1.17) — may need log/sqrt transform
2026-04-15 15:12:58,409 | INFO     | issue_detector | [LOW] high_skewness — 'infant deaths' is highly skewed (skew=9.79) — may need log/sqrt transform
2026-04-15 15:12:58,409 | INFO     | issue_detector | [LOW] high_skewness — 'percentage expenditure' is highly skewed (skew=4.65) — may need log/sqrt transf
2026-04-15 15:12:58,414 | INFO     | issue_detector | [LOW] high_skewness — 'Hepatitis B' is highly skewed (skew=-1.93) — may need log/sqrt transform
2026-04-15 15:12:58,415 | INFO     | issue_detector | [LOW] high_skewness — 'Measles ' is highly skewed (skew=9.44) — may need log/sqrt transform
2026-04-15 15:12:58,415 | INFO     | issue_detector | [LOW] high_skewness — 'under-five deaths ' is highly skewed (skew=9.50) — may need log/sqrt transform
2026-04-15 15:12:58,415 | INFO     | issue_detector | [LOW] high_skewness — 'Polio' is highly skewed (skew=-2.10) — may need log/sqrt transform
2026-04-15 15:12:58,415 | INFO     | issue_detector | [LOW] high_skewness — 'Diphtheria ' is highly skewed (skew=-2.07) — may need log/sqrt transform
2026-04-15 15:12:58,415 | INFO     | issue_detector | [LOW] high_skewness — ' HIV/AIDS' is highly skewed (skew=5.40) — may need log/sqrt transform
2026-04-15 15:12:58,415 | INFO     | issue_detector | [LOW] high_skewness — 'GDP' is highly skewed (skew=3.21) — may need log/sqrt transform
2026-04-15 15:12:58,415 | INFO     | issue_detector | [LOW] high_skewness — 'Population' is highly skewed (skew=15.92) — may need log/sqrt transform
2026-04-15 15:12:58,415 | INFO     | issue_detector | [LOW] high_skewness — ' thinness  1-19 years' is highly skewed (skew=1.71) — may need log/sqrt transfo
2026-04-15 15:12:58,431 | INFO     | issue_detector | [LOW] high_skewness — ' thinness 5-9 years' is highly skewed (skew=1.78) — may need log/sqrt transform
2026-04-15 15:12:58,431 | INFO     | issue_detector | [LOW] high_skewness — 'Income composition of resources' is highly skewed (skew=-1.14) — may need log/s
2026-04-15 15:12:58,431 | INFO     | issue_detector | [INFO] high_cardinality — 'Country' has 193 unique values — may be an ID or free text
2026-04-15 15:12:58,437 | INFO     | issue_detector | Issue detection complete — 46 issues found.
